
A01_solve_noarg	EC=2	EMPTY	PANIC=False	solve --json
A02_decide_noarg	EC=2	EMPTY	PANIC=False	decide --json
A03_reason_noarg	EC=2	EMPTY	PANIC=False	reason --json
A04_search_noarg	EC=2	EMPTY	PANIC=False	search --json
A05_init_noarg	EC=2	EMPTY	PANIC=False	init --json
A06_publish_noarg	EC=2	EMPTY	PANIC=False	publish --json
A07_compile_noarg	EC=0	JSON_OK	PANIC=False	compile --json
A08_unknown_flag	EC=2	EMPTY	PANIC=False	solve x --bogus --json
A09_bundle_missing	EC=1	EMPTY	PANIC=False	solve anything --bundle doesnotexist.atlas --json
A10_dir_as_file	EC=1	EMPTY	PANIC=False	compile . --out o.atlas --json
